Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
LOC107396001	-1.98360238106328	0.203966909269653	426	0	0	542.5	231105	467
LOC107396038	-1.28449083513244	0.198085116447859	452	0	0	542.5	245210	489
LOC107396234	0.966955349209446	0.249328472730196	295	0	0	542.5	160037.5	373
LOC107396257	0.252515410353493	0.195411305881386	465	0	0	542.5	252262.5	499
LOC107396306	1.13582161316315	0.491442640038668	75	0	0	542.5	40687.5	164
LOC107396326	-0.046309404618045	0.152284586679815	665	0	0	542.5	360762.5	679
LOC107396394	0.842759760582145	0.212187829778152	403	-0.00585998960887285	0.00585998960887285	242	97526	288
LOC107396538	2.47421012474415	0.182560186061984	529	-0.0298249768773365	0.0298249768773365	190	100510	294
LOC107396628	1.05820475343369	0.223659289197226	363	0	0	542.5	196927.5	423
LOC107396660	-0.241119034455145	0.256227813217219	276	-0.0860835626559819	0.0860835626559819	107	29532	145
LOC107396709	0.82711037021094	0.630181644951568	50	-0.194493965542956	0.194493965542956	42	2100	40
LOC107396745	-0.0461773273954641	0.307486301092204	199	0	0	542.5	107957.5	304
LOC107396813	0.508435559799207	0.155244211573407	653	0	0	542.5	354252.5	668
LOC107396952	1.07794212015847	0.154191271533191	658	0	0	542.5	356965	672
LOC107396988	0.833305366068816	0.253443489531099	285	0	0	542.5	154612.5	366
LOC107397057	2.01414843040333	0.145537884642705	685	0	0	542.5	371612.5	697
LOC107397157	-1.09242829869119	0.293445971102007	212	0.0202604069646698	0.0202604069646698	210	44520	175
LOC107397163	2.75686989576209	0.242940915512266	315	0	0	542.5	170887.5	389
LOC107397171	0.714516893711476	0.183048950787898	528	0	0	542.5	286440	554
lrfn1	1.75445516074936	0.188208380829873	508	0	0	542.5	275590	534
lrfn2	-0.961033637167579	0.187191535251762	515	0	0	542.5	279387.5	541
lrfn5	1.80103644918594	0.0682692833392992	824	0	0	542.5	447020	824
lrp1b	-0.592464959744393	0.168068504651673	594	0	0	542.5	322245	614
lrp4	2.7431782387612	0.602189321101462	53	0.262784194452566	0.262784194452566	25	1325	28
lrrc4c	1.57269626182545	0.144836172514416	686	0	0	542.5	372155	698
lrrn3	2.48754870085674	0.378015576704222	127	0.115149749647716	0.115149749647716	84	10668	94
magi1	0.622833326949854	0.176114883661509	560	0	0	542.5	303800	584
magi2	0.211298929265865	0.278404174248846	240	0	0	542.5	130200	337
map2	1.1671699985144	0.0740271644881784	822	0	0	542.5	445935	822
mapk8ip2	1.56574155866034	0.103933838292931	801	0	0	542.5	434542.5	802
march4	1.54157874813504	0.20826016890396	416	0	0	542.5	225680	459
mdfic	1.18007156285401	0.2789408865888	239	0.662854784445743	0.662854784445743	3	717	22
mdga1	1.6191529925398	0.161177390499428	621	0	0	542.5	336892.5	639
mdga2	1.64273434813462	0.795406104710052	35	-0.238267121420298	0.238267121420298	31	1085	26
med13l	-0.713646699884656	0.414115024149303	104	0.313245022828007	0.313245022828007	15	1560	32.5
megf11	-0.117240447404464	0.179161340889914	544	0	0	542.5	295120	569
meis1	1.83300245281868	0.308928236039963	195	-0.0076395646530334	0.0076395646530334	238	46410	180
meis2	2.8607126922312	0.334416800128118	161	0	0	542.5	87342.5	271
mgat4c	1.1782744487529	0.143889031136511	688	0	0	542.5	373240	699
